,from,from_rounded,from_location,to_haven,trip_ID,vessel_mmsi,geometry
10868,2022-09-09 22:27:52+00:00,2022-09-09 22:00:00+00:00,"[4.06512, 51.98344]",MISS,6190,636021220,POINT (4.06512 51.98344)
10869,2022-09-09 22:17:37+00:00,2022-09-09 22:00:00+00:00,"[4.26266, 51.90625]",3PET,6191,374402000,POINT (4.26266 51.90625)
10870,2022-09-09 22:27:34+00:00,2022-09-09 22:00:00+00:00,"[4.29495, 51.89621]",3PET,6191,374402000,POINT (4.29495 51.89621)
10875,2022-09-10 01:04:54+00:00,2022-09-10 01:00:00+00:00,"[4.33237, 51.8941]",VULK,6194,277548000,POINT (4.33237 51.8941)
10876,2022-09-10 01:09:54+00:00,2022-09-10 01:00:00+00:00,"[4.34962, 51.89705]",VULK,6194,277548000,POINT (4.34962 51.89705)
10877,2022-09-10 00:54:50+00:00,2022-09-10 01:00:00+00:00,"[4.14914, 51.95346]",CK5PET,6195,538006310,POINT (4.14914 51.95346)
10887,2022-09-10 00:49:51+00:00,2022-09-10 01:00:00+00:00,"[4.14783, 51.954]",7PET,6200,309368000,POINT (4.14783 51.954)
10888,2022-09-10 00:49:47+00:00,2022-09-10 01:00:00+00:00,"[4.14783, 51.954]",7PET,6200,309368000,POINT (4.14783 51.954)
10891,2022-09-10 03:21:04+00:00,2022-09-10 03:00:00+00:00,"[4.06352, 51.96098]",EURO,6202,210299000,POINT (4.06352 51.96098)
10892,2022-09-10 02:50:55+00:00,2022-09-10 03:00:00+00:00,"[4.06457, 51.983]",AMAZ,6203,218850000,POINT (4.06457 51.983)
10893,2022-09-10 02:50:52+00:00,2022-09-10 03:00:00+00:00,"[4.06457, 51.983]",AMAZ,6203,218850000,POINT (4.06457 51.983)
10894,2022-09-10 02:45:55+00:00,2022-09-10 03:00:00+00:00,"[4.17251, 51.94239]",7PET,6204,209387000,POINT (4.17251 51.94239)
10895,2022-09-10 02:45:57+00:00,2022-09-10 03:00:00+00:00,"[4.17251, 51.94239]",7PET,6204,209387000,POINT (4.17251 51.94239)
10900,2022-09-10 04:41:59+00:00,2022-09-10 05:00:00+00:00,"[4.06549, 51.98254]",EURO,6207,636020349,POINT (4.06549 51.98254)
10901,2022-09-10 03:26:14+00:00,2022-09-10 03:00:00+00:00,"[4.31275, 51.89425]",NMBOT,6208,563162200,POINT (4.31275 51.89425)
10902,2022-09-10 02:15:38+00:00,2022-09-10 02:00:00+00:00,"[4.09604, 51.9812]",NMBOT,6208,563162200,POINT (4.09604 51.9812)
10903,2022-09-10 03:21:15+00:00,2022-09-10 03:00:00+00:00,"[4.29758, 51.89615]",NMBOT,6208,563162200,POINT (4.29758 51.89615)
10904,2022-09-10 03:21:15+00:00,2022-09-10 03:00:00+00:00,"[4.29758, 51.89615]",NMBOT,6209,563162200,POINT (4.29758 51.89615)
10905,2022-09-10 02:45:49+00:00,2022-09-10 03:00:00+00:00,"[4.19176, 51.94139]",NMBOT,6209,563162200,POINT (4.19176 51.94139)
10906,2022-09-10 03:21:07+00:00,2022-09-10 03:00:00+00:00,"[4.29758, 51.89615]",NMBOT,6209,563162200,POINT (4.29758 51.89615)
10914,2022-09-10 05:53:18+00:00,2022-09-10 06:00:00+00:00,"[4.0842, 51.97449]",EURO,6214,255805929,POINT (4.0842 51.97449)
10915,2022-09-10 05:58:19+00:00,2022-09-10 06:00:00+00:00,"[4.0842, 51.97449]",EURO,6214,255805929,POINT (4.0842 51.97449)
10925,2022-09-10 08:19:53+00:00,2022-09-10 08:00:00+00:00,"[4.13182, 51.96161]",CKVTTI,6220,319151100,POINT (4.13182 51.96161)
10926,2022-09-10 08:20:01+00:00,2022-09-10 08:00:00+00:00,"[4.13182, 51.96161]",CKVTTI,6220,319151100,POINT (4.13182 51.96161)
10927,2022-09-10 09:26:54+00:00,2022-09-10 09:00:00+00:00,"[4.40336, 51.89774]",WAAL,6221,477932400,POINT (4.40336 51.89774)
10928,2022-09-10 09:25:54+00:00,2022-09-10 09:00:00+00:00,"[4.39989, 51.89705]",WAAL,6221,477932400,POINT (4.39989 51.89705)
