,to,to_rounded,to_location,from_haven,trip_ID,vessel_mmsi,geometry
13850,2022-10-05 13:49:50+00:00,2022-10-05 13:00:00+00:00,"[4.07345, 51.96016]",YANG,7934,636020533,POINT (4.07345 51.96016)
13855,2022-10-05 14:50:37+00:00,2022-10-05 14:00:00+00:00,"[4.22261, 51.91403]",BRITH,7937,248744000,POINT (4.22261 51.91403)
13864,2022-10-05 15:28:34+00:00,2022-10-05 15:00:00+00:00,"[4.40179, 51.89066]",FRISO,7942,305434000,POINT (4.40179 51.89066)
13865,2022-10-05 15:36:13+00:00,2022-10-05 15:00:00+00:00,"[4.173, 51.94174]",CKVTTI,7943,209507000,POINT (4.173 51.94174)
13866,2022-10-05 15:41:17+00:00,2022-10-05 14:00:00+00:00,"[4.41143, 51.90111]",WAAL,7944,355124000,POINT (4.41143 51.90111)
13867,2022-10-05 15:51:38+00:00,2022-10-05 14:00:00+00:00,"[4.36575, 51.89902]",WAAL,7944,355124000,POINT (4.36575 51.89902)
13877,2022-10-05 16:37:19+00:00,2022-10-05 16:00:00+00:00,"[4.08587, 51.96215]",AMAZ,7950,305576000,POINT (4.08587 51.96215)
13882,2022-10-05 17:48:14+00:00,2022-10-05 16:00:00+00:00,"[4.22049, 51.91676]",BRITH,7953,249671000,POINT (4.22049 51.91676)
13883,2022-10-05 18:08:33+00:00,2022-10-05 18:00:00+00:00,"[4.22338, 51.91275]",BRITH,7954,247392200,POINT (4.22338 51.91275)
13885,2022-10-05 18:38:51+00:00,2022-10-05 18:00:00+00:00,"[4.4043, 51.88795]",BEAT,7956,314292000,POINT (4.4043 51.88795)
13888,2022-10-05 19:39:29+00:00,2022-10-05 19:00:00+00:00,"[4.15845, 51.94965]",7PET,7958,229692000,POINT (4.15845 51.94965)
13889,2022-10-05 19:54:54+00:00,2022-10-05 19:00:00+00:00,"[4.2234, 51.91245]",BRITH,7959,438031044,POINT (4.2234 51.91245)
13890,2022-10-05 19:58:36+00:00,2022-10-05 18:00:00+00:00,"[4.21962, 51.91749]",BRITH,7959,438031044,POINT (4.21962 51.91749)
13891,2022-10-05 20:24:51+00:00,2022-10-05 20:00:00+00:00,"[4.07009, 51.96368]",YANG,7960,255805899,POINT (4.07009 51.96368)
13892,2022-10-05 20:24:59+00:00,2022-10-05 20:00:00+00:00,"[4.07009, 51.96368]",YANG,7960,255805899,POINT (4.07009 51.96368)
13895,2022-10-05 20:45:00+00:00,2022-10-05 20:00:00+00:00,"[4.1126, 51.9776]",NW HVH,7962,244758000,POINT (4.1126 51.9776)
13910,2022-10-05 22:58:37+00:00,2022-10-05 23:00:00+00:00,"[4.3093, 51.88982]",3PET,7970,257519000,POINT (4.3093 51.88982)
13911,2022-10-05 23:37:20+00:00,2022-10-05 23:00:00+00:00,"[4.30915, 51.89001]",3PET,7971,563154800,POINT (4.30915 51.89001)
13912,2022-10-05 23:42:19+00:00,2022-10-05 23:00:00+00:00,"[4.30172, 51.89692]",3PET,7971,563154800,POINT (4.30172 51.89692)
13921,2022-10-06 01:54:13+00:00,2022-10-06 01:00:00+00:00,"[4.08827, 51.97132]",EURO,7977,253068000,POINT (4.08827 51.97132)
13922,2022-10-06 01:54:20+00:00,2022-10-06 01:00:00+00:00,"[4.08827, 51.97132]",EURO,7977,253068000,POINT (4.08827 51.97132)
13923,2022-10-06 01:49:13+00:00,2022-10-06 01:00:00+00:00,"[4.07408, 51.98101]",LNG,7978,431776000,POINT (4.07408 51.98101)
13924,2022-10-06 01:58:32+00:00,2022-10-06 01:00:00+00:00,"[4.05696, 51.98678]",LNG,7978,431776000,POINT (4.05696 51.98678)
13925,2022-10-06 01:58:29+00:00,2022-10-06 01:00:00+00:00,"[4.05696, 51.98678]",LNG,7978,431776000,POINT (4.05696 51.98678)
13926,2022-10-06 02:09:48+00:00,2022-10-06 01:00:00+00:00,"[4.18855, 51.93447]",7PET,7979,228423700,POINT (4.18855 51.93447)
13927,2022-10-06 02:14:55+00:00,2022-10-06 01:00:00+00:00,"[4.17711, 51.93997]",7PET,7979,228423700,POINT (4.17711 51.93997)
