device_mmsi,Lenght,Width,Type
258025880,10,4,other
211440330,172,11.5,other
244740564,105,10,other
205382590,110,13,cargo
235088132,26,10,other
211510980,110,13,tanker
255806516,125,21,cargo
563000100,159,24,tanker
566699000,183,29,cargo
244140444,135,18,tanker
636093114,228,37,cargo
244180237,0,0,other
245339000,82,11,cargo
253667000,26,10,other
244780287,85,10,cargo
538003631,128,20,tanker
244013506,11,4,other
636020231,180,32,cargo
244660836,110,12,tanker
244650797,0,0,other
219019853,27,6,other
538009476,244,42,tanker
636018192,207,29,cargo
257162000,170,26,tanker
249525000,28,10,other
205440310,11,4,sailing
215781000,243,42,tanker
211828550,0,0,other
244740202,28,6,other
244660351,183,24,cargo
636019995,183,32,tanker
244620938,110,11,other
244710719,65,7,cargo
205386390,110,12,cargo
538005848,368,51,cargo
244030593,196,26,cargo
244790512,12,4,other
271000862,95,17,cargo
241452000,295,46,tanker
244002099,11,4,other
211734010,0,1,tanker
246786000,48,12,other
538008683,179,28,cargo
205260390,85,11,tanker
246797000,143,22,cargo
636017260,145,24,tanker
205278890,135,15,tanker
211346950,11,4,other
636014087,181,32,tanker
253779000,90,15,cargo
636017834,183,32,tanker
257737000,86,16,cargo
229770000,183,32,tanker
244710286,56,6,other
244740081,11,4,other
211169260,103,9,cargo
376846000,208,32,cargo
261182694,80,8,cargo
244153215,11,4,sailing
309937000,90,13,cargo
636015736,160,26,tanker
205807310,0,2,other
229573000,246,32,cargo
304872000,101,14,cargo
244835000,21,5,other
244256000,43,10,other
211811200,187,23,cargo
241424000,290,46,tanker
212848000,192,32,cargo
235066921,13,4,other
244670423,110,11,cargo
211439110,86,10,tanker
257023910,13,8,sailing
636014250,274,50,tanker
244700799,0,0,cargo
244615393,13,4,sailing
211616070,11,4,sailing
244057507,10,3,sailing
244750496,17,7,other
255806352,141,22,cargo
305851000,145,24,tanker
211669150,110,12,other
244810413,10,4,other
246054000,37,8,other
244060212,12,4,sailing
266433000,150,23,tanker
244660226,72,7,cargo
244670424,11,3,sailing
403503000,183,32,tanker
244730716,86,10,cargo
257071620,126,20,tanker
212471000,90,28,other
564849000,300,50,cargo
244010813,11,2,sailing
244660105,15,10,cargo
244670710,80,9,cargo
229384000,283,40,cargo
354114000,300,49,tanker
248964000,249,44,tanker
244750218,105,11,cargo
372218000,338,45,cargo
244660967,35,7,tanker
636018895,134,22,tanker
636013645,176,31,tanker
314020000,83,11,cargo
353428000,366,48,cargo
563090100,99,17,tanker
244615999,12,4,sailing
244013718,86,10,other
269057123,110,11,tanker
244742000,24,6,other
310817000,297,47,tanker
538009105,190,32,cargo
636019878,299,46,tanker
353051000,366,51,cargo
229236000,185,24,cargo
257667000,144,23,tanker
244710118,55,9,other
249598000,132,19,tanker
211446700,10,3,sailing
244150637,16,4,other
244100929,11,4,other
244959000,24,6,other
257071710,90,14,cargo
636017581,260,32,cargo
211515020,110,12,tanker
351297000,400,61,cargo
211770140,80,8,cargo
211787080,70,9,cargo
244158203,18,4,other
244820905,13,4,sailing
538009300,225,32,cargo
277561000,184,25,cargo
538007360,400,59,cargo
253145000,22,6,other
244850771,11,4,sailing
232033027,106,15,cargo
211818710,86,10,tanker
244060821,80,9,other
244650449,12,4,other
244138505,67,7.5,cargo
636020823,183,32,tanker
563082500,229,32,cargo
248621000,128,20,tanker
235095972,91,16,tanker
244870427,95,15,tanker
244447000,0,0,other
314632000,90,12,cargo
211670850,11,4,sailing
244740060,86,9,cargo
244110638,12,4,other
218839000,333,48,cargo
244001429,10,0,other
211445250,86,10,tanker
205308710,11,3,sailing
211476060,185,24,cargo
245710000,21,5,other
355837000,340,60,tanker
244700224,85,10,other
211496510,110,11,tanker
413976000,330,60,tanker
538005262,180,30,cargo
211494230,86,11,other
244810387,18,5,other
538005888,336,43,cargo
244670291,86,11,tanker
227053590,11,4,sailing
244236658,12,4,sailing
248738000,107,14,cargo
211611090,12,4,sailing
266258000,177,26,tanker
255806453,24,12,other
244790251,172,12,cargo
255805951,89,13,cargo
210340000,110,18,tanker
477617300,184,28,tanker
538009197,250,44,tanker
370677000,180,28,cargo
244660497,85,10,tanker
255806300,135,22,cargo
231843000,89,14,cargo
244084366,12,4,sailing
209253000,80,28,other
258751000,144,23,tanker
374459000,292,45,cargo
229572000,228,37,cargo
538009703,140,21,tanker
269057594,107,10,cargo
248553000,128,20,tanker
244660522,82,9,other
563105200,174,27,tanker
636017416,160,26,tanker
211476070,185,23,cargo
205056700,12,4,other
211207840,17,5,sailing
636020457,149,26,cargo
256549000,123,20,tanker
205270990,74,9,other
244013638,12,4,sailing
538003718,105,16,tanker
244180566,11,4,other
212921000,229,32,cargo
356237000,190,32,cargo
241627000,250,44,tanker
305484000,130,20,cargo
244620396,63,17,cargo
244750379,110,11,other
244011967,13,4,sailing
255806355,144,23,tanker
210350000,100,16,cargo
211280860,110,12,cargo
244670127,80,9,cargo
244660204,88,21,cargo
636020612,240,42,tanker
636022088,137,20,tanker
538008103,250,44,tanker
244397000,82,12,cargo
